customer,orders,revenue,active,signup_date,last_seen,notes
Gamma,36,387.95,true,2024-07-16,2025-01-16T18:54:00.000000,priority
Delta,6,405.3,false,2024-08-17,2025-02-17T19:01:00.000000,""
Echo,13,422.65,,2024-09-18,2025-03-18T20:08:00.000000,upsell candidate
Foxtrot,20,441.1,true,2024-10-19,2025-01-19T21:15:00.000000,new
Helix,27,59.4,false,2024-11-20,2025-02-20T22:22:00.000000,
Iota,34,76.75,,2024-12-21,2025-03-21T23:29:00.000000,follow-up
Acme,4,94.1,true,2024-01-22,2025-01-22T00:36:00.000000,priority
Beta,11,111.45,false,2024-02-23,2025-02-23T01:43:00.000000,""
Gamma,18,129.9,,2024-03-24,2025-03-24T02:50:00.000000,upsell candidate
Delta,25,147.25,true,2024-04-25,2025-01-25T03:57:00.000000,new
Echo,32,164.6,false,2024-05-26,2025-02-26T04:04:00.000000,
Foxtrot,2,181.95,,2024-06-27,2025-03-27T05:11:00.000000,follow-up
Helix,9,199.3,true,2024-07-01,2025-01-01T06:18:00.000000,priority
Iota,16,217.75,false,2024-08-02,2025-02-02T07:25:00.000000,""
Acme,23,235.1,,2024-09-03,2025-03-03T08:32:00.000000,upsell candidate
Beta,30,252.45,true,2024-10-04,2025-01-04T09:39:00.000000,new
Gamma,37,269.8,false,2024-11-05,2025-02-05T10:46:00.000000,
Delta,7,287.15,,2024-12-06,2025-03-06T11:53:00.000000,follow-up
Echo,14,305.6,true,2024-01-07,2025-01-07T12:00:00.000000,priority
Foxtrot,21,322.95,false,2024-02-08,2025-02-08T13:07:00.000000,""
Helix,28,340.3,,2024-03-09,2025-03-09T14:14:00.000000,upsell candidate
Iota,35,357.65,true,2024-04-10,2025-01-10T15:21:00.000000,new
Acme,5,375.0,false,2024-05-11,2025-02-11T16:28:00.000000,
Beta,12,393.45,,2024-06-12,2025-03-12T17:35:00.000000,follow-up
Gamma,19,410.8,true,2024-07-13,2025-01-13T18:42:00.000000,priority
Delta,26,428.15,false,2024-08-14,2025-02-14T19:49:00.000000,""
Echo,33,445.5,,2024-09-15,2025-03-15T20:56:00.000000,upsell candidate
Foxtrot,3,63.8,true,2024-10-16,2025-01-16T21:03:00.000000,new
Helix,10,82.25,false,2024-11-17,2025-02-17T22:10:00.000000,
Iota,17,99.6,,2024-12-18,2025-03-18T23:17:00.000000,follow-up
Acme,24,116.95,true,2024-01-19,2025-01-19T00:24:00.000000,priority
Beta,31,134.3,false,2024-02-20,2025-02-20T01:31:00.000000,""
Gamma,1,151.65,,2024-03-21,2025-03-21T02:38:00.000000,upsell candidate
Delta,8,170.1,true,2024-04-22,2025-01-22T03:45:00.000000,new
Echo,15,187.45,false,2024-05-23,2025-02-23T04:52:00.000000,
Foxtrot,22,204.8,,2024-06-24,2025-03-24T05:59:00.000000,follow-up
Helix,29,222.15,true,2024-07-25,2025-01-25T06:06:00.000000,priority
Iota,36,239.5,false,2024-08-26,2025-02-26T07:13:00.000000,""
Acme,6,257.95,,2024-09-27,2025-03-27T08:20:00.000000,upsell candidate
Beta,13,275.3,true,2024-10-01,2025-01-01T09:27:00.000000,new
Gamma,20,292.65,false,2024-11-02,2025-02-02T10:34:00.000000,
Delta,27,310.0,,2024-12-03,2025-03-03T11:41:00.000000,follow-up
Echo,34,327.35,true,2024-01-04,2025-01-04T12:48:00.000000,priority
Foxtrot,4,345.8,false,2024-02-05,2025-02-05T13:55:00.000000,""
Helix,11,363.15,,2024-03-06,2025-03-06T14:02:00.000000,upsell candidate
Iota,18,380.5,true,2024-04-07,2025-01-07T15:09:00.000000,new
Acme,25,397.85,false,2024-05-08,2025-02-08T16:16:00.000000,
Beta,32,415.2,,2024-06-09,2025-03-09T17:23:00.000000,follow-up
Gamma,2,433.65,true,2024-07-10,2025-01-10T18:30:00.000000,priority
Delta,9,451.0,false,2024-08-11,2025-02-11T19:37:00.000000,""
Echo,16,69.3,,2024-09-12,2025-03-12T20:44:00.000000,upsell candidate
Foxtrot,23,86.65,true,2024-10-13,2025-01-13T21:51:00.000000,new
Helix,30,104.0,false,2024-11-14,2025-02-14T22:58:00.000000,
Iota,37,122.45,,2024-12-15,2025-03-15T23:05:00.000000,follow-up
Acme,7,139.8,true,2024-01-16,2025-01-16T00:12:00.000000,priority
Beta,14,157.15,false,2024-02-17,2025-02-17T01:19:00.000000,""
Gamma,21,174.5,,2024-03-18,2025-03-18T02:26:00.000000,upsell candidate
Delta,28,191.85,true,2024-04-19,2025-01-19T03:33:00.000000,new
Echo,35,210.3,false,2024-05-20,2025-02-20T04:40:00.000000,
Foxtrot,5,227.65,,2024-06-21,2025-03-21T05:47:00.000000,follow-up
Helix,12,245.0,true,2024-07-22,2025-01-22T06:54:00.000000,priority
Iota,19,262.35,false,2024-08-23,2025-02-23T07:01:00.000000,""
Acme,26,279.7,,2024-09-24,2025-03-24T08:08:00.000000,upsell candidate
Beta,33,298.15,true,2024-10-25,2025-01-25T09:15:00.000000,new
Gamma,3,315.5,false,2024-11-26,2025-02-26T10:22:00.000000,
Delta,10,332.85,,2024-12-27,2025-03-27T11:29:00.000000,follow-up
Echo,17,350.2,true,2024-01-01,2025-01-01T12:36:00.000000,priority
Foxtrot,24,367.55,false,2024-02-02,2025-02-02T13:43:00.000000,""
Helix,31,386.0,,2024-03-03,2025-03-03T14:50:00.000000,upsell candidate
Iota,1,403.35,true,2024-04-04,2025-01-04T15:57:00.000000,new
Acme,8,420.7,false,2024-05-05,2025-02-05T16:04:00.000000,
Beta,15,438.05,,2024-06-06,2025-03-06T17:11:00.000000,follow-up
Gamma,22,455.4,true,2024-07-07,2025-01-07T18:18:00.000000,priority
Delta,29,74.8,false,2024-08-08,2025-02-08T19:25:00.000000,""
Echo,36,92.15,,2024-09-09,2025-03-09T20:32:00.000000,upsell candidate
Foxtrot,6,109.5,true,2024-10-10,2025-01-10T21:39:00.000000,new
Helix,13,126.85,false,2024-11-11,2025-02-11T22:46:00.000000,
Iota,20,144.2,,2024-12-12,2025-03-12T23:53:00.000000,follow-up
Acme,27,162.65,true,2024-01-13,2025-01-13T00:00:00.000000,priority
Beta,34,180.0,false,2024-02-14,2025-02-14T01:07:00.000000,""
Gamma,4,197.35,,2024-03-15,2025-03-15T02:14:00.000000,upsell candidate
Delta,11,214.7,true,2024-04-16,2025-01-16T03:21:00.000000,new
Echo,18,232.05,false,2024-05-17,2025-02-17T04:28:00.000000,
Foxtrot,25,250.5,,2024-06-18,2025-03-18T05:35:00.000000,follow-up
Helix,32,267.85,true,2024-07-19,2025-01-19T06:42:00.000000,priority
Iota,2,285.2,false,2024-08-20,2025-02-20T07:49:00.000000,""
Acme,9,302.55,,2024-09-21,2025-03-21T08:56:00.000000,upsell candidate
Beta,16,319.9,true,2024-10-22,2025-01-22T09:03:00.000000,new
Gamma,23,338.35,false,2024-11-23,2025-02-23T10:10:00.000000,
Delta,30,355.7,,2024-12-24,2025-03-24T11:17:00.000000,follow-up
Echo,37,373.05,true,2024-01-25,2025-01-25T12:24:00.000000,priority
Foxtrot,7,390.4,false,2024-02-26,2025-02-26T13:31:00.000000,""
Helix,14,407.75,,2024-03-27,2025-03-27T14:38:00.000000,upsell candidate
Iota,21,426.2,true,2024-04-01,2025-01-01T15:45:00.000000,new
Acme,28,443.55,false,2024-05-02,2025-02-02T16:52:00.000000,
Beta,35,460.9,,2024-06-03,2025-03-03T17:59:00.000000,follow-up
Gamma,5,79.2,true,2024-07-04,2025-01-04T18:06:00.000000,priority
Delta,12,96.55,false,2024-08-05,2025-02-05T19:13:00.000000,""
Echo,19,115.0,,2024-09-06,2025-03-06T20:20:00.000000,upsell candidate
Foxtrot,26,132.35,true,2024-10-07,2025-01-07T21:27:00.000000,new
Helix,33,149.7,false,2024-11-08,2025-02-08T22:34:00.000000,
Iota,3,167.05,,2024-12-09,2025-03-09T23:41:00.000000,follow-up
Acme,10,184.4,true,2024-01-10,2025-01-10T00:48:00.000000,priority
Beta,17,202.85,false,2024-02-11,2025-02-11T01:55:00.000000,""
Gamma,24,220.2,,2024-03-12,2025-03-12T02:02:00.000000,upsell candidate
Delta,31,237.55,true,2024-04-13,2025-01-13T03:09:00.000000,new
Echo,1,254.9,false,2024-05-14,2025-02-14T04:16:00.000000,
Foxtrot,8,272.25,,2024-06-15,2025-03-15T05:23:00.000000,follow-up
Helix,15,290.7,true,2024-07-16,2025-01-16T06:30:00.000000,priority
Iota,22,308.05,false,2024-08-17,2025-02-17T07:37:00.000000,""
Acme,29,325.4,,2024-09-18,2025-03-18T08:44:00.000000,upsell candidate
Beta,36,342.75,true,2024-10-19,2025-01-19T09:51:00.000000,new
Gamma,6,360.1,false,2024-11-20,2025-02-20T10:58:00.000000,
Delta,13,378.55,,2024-12-21,2025-03-21T11:05:00.000000,follow-up
Echo,20,395.9,true,2024-01-22,2025-01-22T12:12:00.000000,priority
Foxtrot,27,413.25,false,2024-02-23,2025-02-23T13:19:00.000000,""
Helix,34,430.6,,2024-03-24,2025-03-24T14:26:00.000000,upsell candidate
Iota,4,447.95,true,2024-04-25,2025-01-25T15:33:00.000000,new
Acme,11,466.4,false,2024-05-26,2025-02-26T16:40:00.000000,
Beta,18,84.7,,2024-06-27,2025-03-27T17:47:00.000000,follow-up
Gamma,25,102.05,true,2024-07-01,2025-01-01T18:54:00.000000,priority
Delta,32,119.4,false,2024-08-02,2025-02-02T19:01:00.000000,""
Echo,2,136.75,,2024-09-03,2025-03-03T20:08:00.000000,upsell candidate
Foxtrot,9,155.2,true,2024-10-04,2025-01-04T21:15:00.000000,new
Helix,16,172.55,false,2024-11-05,2025-02-05T22:22:00.000000,
Iota,23,189.9,,2024-12-06,2025-03-06T23:29:00.000000,follow-up
Acme,30,207.25,true,2024-01-07,2025-01-07T00:36:00.000000,priority
Beta,37,224.6,false,2024-02-08,2025-02-08T01:43:00.000000,""
Gamma,7,243.05,,2024-03-09,2025-03-09T02:50:00.000000,upsell candidate
Delta,14,260.4,true,2024-04-10,2025-01-10T03:57:00.000000,new
Echo,21,277.75,false,2024-05-11,2025-02-11T04:04:00.000000,
Foxtrot,28,295.1,,2024-06-12,2025-03-12T05:11:00.000000,follow-up
Helix,35,312.45,true,2024-07-13,2025-01-13T06:18:00.000000,priority
Iota,5,330.9,false,2024-08-14,2025-02-14T07:25:00.000000,""
Acme,12,348.25,,2024-09-15,2025-03-15T08:32:00.000000,upsell candidate
Beta,19,365.6,true,2024-10-16,2025-01-16T09:39:00.000000,new
Gamma,26,382.95,false,2024-11-17,2025-02-17T10:46:00.000000,
Delta,33,400.3,,2024-12-18,2025-03-18T11:53:00.000000,follow-up
Echo,3,418.75,true,2024-01-19,2025-01-19T12:00:00.000000,priority
Foxtrot,10,436.1,false,2024-02-20,2025-02-20T13:07:00.000000,""
Helix,17,453.45,,2024-03-21,2025-03-21T14:14:00.000000,upsell candidate
Iota,24,470.8,true,2024-04-22,2025-01-22T15:21:00.000000,new
Acme,31,89.1,false,2024-05-23,2025-02-23T16:28:00.000000,
Beta,1,107.55,,2024-06-24,2025-03-24T17:35:00.000000,follow-up
Gamma,8,124.9,true,2024-07-25,2025-01-25T18:42:00.000000,priority
Delta,15,142.25,false,2024-08-26,2025-02-26T19:49:00.000000,""
Echo,22,159.6,,2024-09-27,2025-03-27T20:56:00.000000,upsell candidate
Foxtrot,29,176.95,true,2024-10-01,2025-01-01T21:03:00.000000,new
Helix,36,195.4,false,2024-11-02,2025-02-02T22:10:00.000000,
Iota,6,212.75,,2024-12-03,2025-03-03T23:17:00.000000,follow-up
Acme,13,230.1,true,2024-01-04,2025-01-04T00:24:00.000000,priority
Beta,20,247.45,false,2024-02-05,2025-02-05T01:31:00.000000,""
Gamma,27,264.8,,2024-03-06,2025-03-06T02:38:00.000000,upsell candidate
Delta,34,283.25,true,2024-04-07,2025-01-07T03:45:00.000000,new
Echo,4,300.6,false,2024-05-08,2025-02-08T04:52:00.000000,
Foxtrot,11,317.95,,2024-06-09,2025-03-09T05:59:00.000000,follow-up
Helix,18,335.3,true,2024-07-10,2025-01-10T06:06:00.000000,priority
Iota,25,352.65,false,2024-08-11,2025-02-11T07:13:00.000000,""
Acme,32,371.1,,2024-09-12,2025-03-12T08:20:00.000000,upsell candidate
Beta,2,388.45,true,2024-10-13,2025-01-13T09:27:00.000000,new
Gamma,9,405.8,false,2024-11-14,2025-02-14T10:34:00.000000,
Delta,16,423.15,,2024-12-15,2025-03-15T11:41:00.000000,follow-up
Echo,23,440.5,true,2024-01-16,2025-01-16T12:48:00.000000,priority
Foxtrot,30,458.95,false,2024-02-17,2025-02-17T13:55:00.000000,""
Helix,37,476.3,,2024-03-18,2025-03-18T14:02:00.000000,upsell candidate
Iota,7,94.6,true,2024-04-19,2025-01-19T15:09:00.000000,new
Acme,14,111.95,false,2024-05-20,2025-02-20T16:16:00.000000,
Beta,21,129.3,,2024-06-21,2025-03-21T17:23:00.000000,follow-up
Gamma,28,147.75,true,2024-07-22,2025-01-22T18:30:00.000000,priority
Delta,35,165.1,false,2024-08-23,2025-02-23T19:37:00.000000,""
Echo,5,182.45,,2024-09-24,2025-03-24T20:44:00.000000,upsell candidate
Foxtrot,12,199.8,true,2024-10-25,2025-01-25T21:51:00.000000,new
Helix,19,217.15,false,2024-11-26,2025-02-26T22:58:00.000000,
Iota,26,235.6,,2024-12-27,2025-03-27T23:05:00.000000,follow-up
Acme,33,252.95,true,2024-01-01,2025-01-01T00:12:00.000000,priority
Beta,3,270.3,false,2024-02-02,2025-02-02T01:19:00.000000,""
Gamma,10,287.65,,2024-03-03,2025-03-03T02:26:00.000000,upsell candidate
Delta,17,305.0,true,2024-04-04,2025-01-04T03:33:00.000000,new
Echo,24,323.45,false,2024-05-05,2025-02-05T04:40:00.000000,
Foxtrot,31,340.8,,2024-06-06,2025-03-06T05:47:00.000000,follow-up
Helix,1,358.15,true,2024-07-07,2025-01-07T06:54:00.000000,priority
Iota,8,375.5,false,2024-08-08,2025-02-08T07:01:00.000000,""
Acme,15,392.85,,2024-09-09,2025-03-09T08:08:00.000000,upsell candidate
Beta,22,411.3,true,2024-10-10,2025-01-10T09:15:00.000000,new
Gamma,29,428.65,false,2024-11-11,2025-02-11T10:22:00.000000,
Delta,36,446.0,,2024-12-12,2025-03-12T11:29:00.000000,follow-up
Echo,6,463.35,true,2024-01-13,2025-01-13T12:36:00.000000,priority
Foxtrot,13,480.7,false,2024-02-14,2025-02-14T13:43:00.000000,""
Helix,20,100.1,,2024-03-15,2025-03-15T14:50:00.000000,upsell candidate
Iota,27,117.45,true,2024-04-16,2025-01-16T15:57:00.000000,new
Acme,34,134.8,false,2024-05-17,2025-02-17T16:04:00.000000,
Beta,4,152.15,,2024-06-18,2025-03-18T17:11:00.000000,follow-up
Gamma,11,169.5,true,2024-07-19,2025-01-19T18:18:00.000000,priority
Delta,18,187.95,false,2024-08-20,2025-02-20T19:25:00.000000,""
Echo,25,205.3,,2024-09-21,2025-03-21T20:32:00.000000,upsell candidate
Foxtrot,32,222.65,true,2024-10-22,2025-01-22T21:39:00.000000,new
Helix,2,240.0,false,2024-11-23,2025-02-23T22:46:00.000000,
Iota,9,257.35,,2024-12-24,2025-03-24T23:53:00.000000,follow-up
Acme,16,275.8,true,2024-01-25,2025-01-25T00:00:00.000000,priority
Beta,23,293.15,false,2024-02-26,2025-02-26T01:07:00.000000,""
Gamma,30,310.5,,2024-03-27,2025-03-27T02:14:00.000000,upsell candidate
Delta,37,327.85,true,2024-04-01,2025-01-01T03:21:00.000000,new
Echo,7,345.2,false,2024-05-02,2025-02-02T04:28:00.000000,
Foxtrot,14,363.65,,2024-06-03,2025-03-03T05:35:00.000000,follow-up
Helix,21,381.0,true,2024-07-04,2025-01-04T06:42:00.000000,priority
Iota,28,398.35,false,2024-08-05,2025-02-05T07:49:00.000000,""
Acme,35,415.7,,2024-09-06,2025-03-06T08:56:00.000000,upsell candidate
Beta,5,433.05,true,2024-10-07,2025-01-07T09:03:00.000000,new
Gamma,12,451.5,false,2024-11-08,2025-02-08T10:10:00.000000,
Delta,19,468.85,,2024-12-09,2025-03-09T11:17:00.000000,follow-up
Echo,26,486.2,true,2024-01-10,2025-01-10T12:24:00.000000,priority
Foxtrot,33,104.5,false,2024-02-11,2025-02-11T13:31:00.000000,""
Helix,3,121.85,,2024-03-12,2025-03-12T14:38:00.000000,upsell candidate
Iota,10,140.3,true,2024-04-13,2025-01-13T15:45:00.000000,new
Acme,17,157.65,false,2024-05-14,2025-02-14T16:52:00.000000,
Beta,24,175.0,,2024-06-15,2025-03-15T17:59:00.000000,follow-up
Gamma,31,192.35,true,2024-07-16,2025-01-16T18:06:00.000000,priority
Delta,1,209.7,false,2024-08-17,2025-02-17T19:13:00.000000,""
Echo,8,228.15,,2024-09-18,2025-03-18T20:20:00.000000,upsell candidate
Foxtrot,15,245.5,true,2024-10-19,2025-01-19T21:27:00.000000,new
Helix,22,262.85,false,2024-11-20,2025-02-20T22:34:00.000000,
Iota,29,280.2,,2024-12-21,2025-03-21T23:41:00.000000,follow-up
Acme,36,297.55,true,2024-01-22,2025-01-22T00:48:00.000000,priority
Beta,6,316.0,false,2024-02-23,2025-02-23T01:55:00.000000,""
Gamma,13,333.35,,2024-03-24,2025-03-24T02:02:00.000000,upsell candidate
Delta,20,350.7,true,2024-04-25,2025-01-25T03:09:00.000000,new
Echo,27,368.05,false,2024-05-26,2025-02-26T04:16:00.000000,
Foxtrot,34,385.4,,2024-06-27,2025-03-27T05:23:00.000000,follow-up
Helix,4,403.85,true,2024-07-01,2025-01-01T06:30:00.000000,priority
Iota,11,421.2,false,2024-08-02,2025-02-02T07:37:00.000000,""
Acme,18,438.55,,2024-09-03,2025-03-03T08:44:00.000000,upsell candidate
Beta,25,455.9,true,2024-10-04,2025-01-04T09:51:00.000000,new
Gamma,32,473.25,false,2024-11-05,2025-02-05T10:58:00.000000,
Delta,2,491.7,,2024-12-06,2025-03-06T11:05:00.000000,follow-up
Echo,9,110.0,true,2024-01-07,2025-01-07T12:12:00.000000,priority
Foxtrot,16,127.35,false,2024-02-08,2025-02-08T13:19:00.000000,""
Helix,23,144.7,,2024-03-09,2025-03-09T14:26:00.000000,upsell candidate
Iota,30,162.05,true,2024-04-10,2025-01-10T15:33:00.000000,new
Acme,37,180.5,false,2024-05-11,2025-02-11T16:40:00.000000,
Beta,7,197.85,,2024-06-12,2025-03-12T17:47:00.000000,follow-up
Gamma,14,215.2,true,2024-07-13,2025-01-13T18:54:00.000000,priority
Delta,21,232.55,false,2024-08-14,2025-02-14T19:01:00.000000,""
Echo,28,249.9,,2024-09-15,2025-03-15T20:08:00.000000,upsell candidate
Foxtrot,35,268.35,true,2024-10-16,2025-01-16T21:15:00.000000,new
Helix,5,285.7,false,2024-11-17,2025-02-17T22:22:00.000000,
Iota,12,303.05,,2024-12-18,2025-03-18T23:29:00.000000,follow-up
Acme,19,320.4,true,2024-01-19,2025-01-19T00:36:00.000000,priority
Beta,26,337.75,false,2024-02-20,2025-02-20T01:43:00.000000,""
Gamma,33,356.2,,2024-03-21,2025-03-21T02:50:00.000000,upsell candidate
Delta,3,373.55,true,2024-04-22,2025-01-22T03:57:00.000000,new
Echo,10,390.9,false,2024-05-23,2025-02-23T04:04:00.000000,
Foxtrot,17,408.25,,2024-06-24,2025-03-24T05:11:00.000000,follow-up
Helix,24,425.6,true,2024-07-25,2025-01-25T06:18:00.000000,priority
Iota,31,444.05,false,2024-08-26,2025-02-26T07:25:00.000000,""
Acme,1,461.4,,2024-09-27,2025-03-27T08:32:00.000000,upsell candidate
Beta,8,478.75,true,2024-10-01,2025-01-01T09:39:00.000000,new
Gamma,15,496.1,false,2024-11-02,2025-02-02T10:46:00.000000,
Delta,22,114.4,,2024-12-03,2025-03-03T11:53:00.000000,follow-up
Echo,29,132.85,true,2024-01-04,2025-01-04T12:00:00.000000,priority
Foxtrot,36,150.2,false,2024-02-05,2025-02-05T13:07:00.000000,""
Helix,6,167.55,,2024-03-06,2025-03-06T14:14:00.000000,upsell candidate
Iota,13,184.9,true,2024-04-07,2025-01-07T15:21:00.000000,new
Acme,20,202.25,false,2024-05-08,2025-02-08T16:28:00.000000,
Beta,27,220.7,,2024-06-09,2025-03-09T17:35:00.000000,follow-up
Gamma,34,238.05,true,2024-07-10,2025-01-10T18:42:00.000000,priority
Delta,4,255.4,false,2024-08-11,2025-02-11T19:49:00.000000,""
Echo,11,272.75,,2024-09-12,2025-03-12T20:56:00.000000,upsell candidate
Foxtrot,18,290.1,true,2024-10-13,2025-01-13T21:03:00.000000,new
Helix,25,308.55,false,2024-11-14,2025-02-14T22:10:00.000000,
Iota,32,325.9,,2024-12-15,2025-03-15T23:17:00.000000,follow-up
Acme,2,343.25,true,2024-01-16,2025-01-16T00:24:00.000000,priority
Beta,9,360.6,false,2024-02-17,2025-02-17T01:31:00.000000,""
Gamma,16,377.95,,2024-03-18,2025-03-18T02:38:00.000000,upsell candidate
Delta,23,396.4,true,2024-04-19,2025-01-19T03:45:00.000000,new
Echo,30,413.75,false,2024-05-20,2025-02-20T04:52:00.000000,
Foxtrot,37,431.1,,2024-06-21,2025-03-21T05:59:00.000000,follow-up
Helix,7,448.45,true,2024-07-22,2025-01-22T06:06:00.000000,priority
Iota,14,465.8,false,2024-08-23,2025-02-23T07:13:00.000000,""
Acme,21,484.25,,2024-09-24,2025-03-24T08:20:00.000000,upsell candidate
Beta,28,501.6,true,2024-10-25,2025-01-25T09:27:00.000000,new
Gamma,35,119.9,false,2024-11-26,2025-02-26T10:34:00.000000,
Delta,5,137.25,,2024-12-27,2025-03-27T11:41:00.000000,follow-up
Echo,12,154.6,true,2024-01-01,2025-01-01T12:48:00.000000,priority
Foxtrot,19,173.05,false,2024-02-02,2025-02-02T13:55:00.000000,""
Helix,26,190.4,,2024-03-03,2025-03-03T14:02:00.000000,upsell candidate
Iota,33,207.75,true,2024-04-04,2025-01-04T15:09:00.000000,new
Acme,3,225.1,false,2024-05-05,2025-02-05T16:16:00.000000,
Beta,10,242.45,,2024-06-06,2025-03-06T17:23:00.000000,follow-up
Gamma,17,260.9,true,2024-07-07,2025-01-07T18:30:00.000000,priority
Delta,24,278.25,false,2024-08-08,2025-02-08T19:37:00.000000,""
Echo,31,295.6,,2024-09-09,2025-03-09T20:44:00.000000,upsell candidate
Foxtrot,1,312.95,true,2024-10-10,2025-01-10T21:51:00.000000,new
Helix,8,330.3,false,2024-11-11,2025-02-11T22:58:00.000000,
Iota,15,348.75,,2024-12-12,2025-03-12T23:05:00.000000,follow-up
Acme,22,366.1,true,2024-01-13,2025-01-13T00:12:00.000000,priority
Beta,29,383.45,false,2024-02-14,2025-02-14T01:19:00.000000,""
Gamma,36,400.8,,2024-03-15,2025-03-15T02:26:00.000000,upsell candidate
Delta,6,418.15,true,2024-04-16,2025-01-16T03:33:00.000000,new
Echo,13,436.6,false,2024-05-17,2025-02-17T04:40:00.000000,
Foxtrot,20,453.95,,2024-06-18,2025-03-18T05:47:00.000000,follow-up
Helix,27,471.3,true,2024-07-19,2025-01-19T06:54:00.000000,priority
Iota,34,488.65,false,2024-08-20,2025-02-20T07:01:00.000000,""
Acme,4,506.0,,2024-09-21,2025-03-21T08:08:00.000000,upsell candidate
Beta,11,125.4,true,2024-10-22,2025-01-22T09:15:00.000000,new
Gamma,18,142.75,false,2024-11-23,2025-02-23T10:22:00.000000,
Delta,25,160.1,,2024-12-24,2025-03-24T11:29:00.000000,follow-up
Echo,32,177.45,true,2024-01-25,2025-01-25T12:36:00.000000,priority
Foxtrot,2,194.8,false,2024-02-26,2025-02-26T13:43:00.000000,""
Helix,9,213.25,,2024-03-27,2025-03-27T14:50:00.000000,upsell candidate
Iota,16,230.6,true,2024-04-01,2025-01-01T15:57:00.000000,new
Acme,23,247.95,false,2024-05-02,2025-02-02T16:04:00.000000,
Beta,30,265.3,,2024-06-03,2025-03-03T17:11:00.000000,follow-up
Gamma,37,282.65,true,2024-07-04,2025-01-04T18:18:00.000000,priority
Delta,7,301.1,false,2024-08-05,2025-02-05T19:25:00.000000,""
Echo,14,318.45,,2024-09-06,2025-03-06T20:32:00.000000,upsell candidate
Foxtrot,21,335.8,true,2024-10-07,2025-01-07T21:39:00.000000,new
Helix,28,353.15,false,2024-11-08,2025-02-08T22:46:00.000000,
Iota,35,370.5,,2024-12-09,2025-03-09T23:53:00.000000,follow-up
Acme,5,388.95,true,2024-01-10,2025-01-10T00:00:00.000000,priority
Beta,12,406.3,false,2024-02-11,2025-02-11T01:07:00.000000,""
